,cubeid,cubeidpub,cubename,catid,z_spec,pix_1_4_arcsecond,area_cov_1_4_arcsecond,v_gas_1_4_arcsecond,v_gas_1_4_arcsecond_err,vdisp_gas_1_4_arcsecond,vdisp_gas_1_4_arcsecond_err,sfr_1_4_arcsecond,sfr_1_4_arcsecond_err,npix_2_arcsecond,area_cov_2_arcsecond,v_gas_2_arcsecond,v_gas_2_arcsecond_err,vdisp_gas_2_arcsecond,vdisp_gas_2_arcsecond_err,sfr_2_arcsecond,sfr_2_arcsecond_err,npix_3_arcsecond,area_cov_3_arcsecond,v_gas_3_arcsecond,v_gas_3_arcsecond_err,vdisp_gas_3_arcsecond,vdisp_gas_3_arcsecond_err,sfr_3_arcsecond,sfr_3_arcsecond_err,npix_4_arcsecond,area_cov_4_arcsecond,v_gas_4_arcsecond,v_gas_4_arcsecond_err,vdisp_gas_4_arcsecond,vdisp_gas_4_arcsecond_err,sfr_4_arcsecond,sfr_4_arcsecond_err,npix_3kpc_round,area_cov_3kpc_round,v_gas_3kpc_round,v_gas_3kpc_round_err,vdisp_gas_3kpc_round,vdisp_gas_3kpc_round_err,sfr_3kpc_round,sfr_3kpc_round_err,npix_re,area_cov_re,v_gas_re,v_gas_re_err,vdisp_gas_re,vdisp_gas_re_err,sfr_re,sfr_re_err,npix_re_mge,area_cov_re_mge,v_gas_re_mge,v_gas_re_mge_err,vdisp_gas_re_mge,vdisp_gas_re_mge_err,ext_corr_re_mge,ext_corr_re_mge_err,sfr_re_mge,sfr_re_mge_err
0,100162_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,100162_A,100162_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,100162,0.02577,44,0.9179128,-3.0684464,0.3051523,33.59477,0.36660013,0.002789249,0.000165075,44,0.9179128,-2.8540182,0.27619183,34.381134,0.32794857,0.009356415,0.000482879,44,0.9179128,-6.0911036,0.23633909,39.47812,0.26506078,0.02299644,0.000921298,44,0.9179128,-7.66972,0.21580122,42.451977,0.23575471,0.032691818,0.001135566,44,0.9179128,-13.506189,0.29105037,17.085325,0.55264235,0.017411523,nan,nan,nan,nan,nan,nan,nan,nan,nan,44,0.9179128,-7.7953615,0.3362769,10.540826,0.9483036,1,nan,0.00782321,nan
1,100175_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,100175_A,100175_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,100175,0.02642,60,1.0210774,-8.470475,0.5942419,20.403696,0.98111767,0.001179173,0.000191049,60,1.0210774,-9.195847,0.49214533,20.261957,0.8207561,0.002312628,0.000298034,60,1.0210774,-9.074672,0.4352936,20.331541,0.72473013,0.005313461,0.000603717,60,1.0210774,-9.903348,0.39990318,20.710463,0.65928656,0.008321434,0.000889843,60,1.0210774,-10.209355,0.35104883,21.349249,0.56879616,0.012763086,0.001212807,60,1.0210774,-9.561045,0.31112686,29.582397,0.4109953,0.01333459,0.000987224,60,1.0210774,-10.465664,0.4205562,21.229671,0.67644966,1.468546952,0.155885124,0.004871582,0.000519508
2,100192_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,100192_A,100192_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,100192,0.02409,368,0.9940255,-0.22727165,0.39860886,28.359304,0.53201,0.001285866,0.000130669,368,0.9940255,-2.7373111,0.3654743,28.555752,0.48167822,0.004132892,0.000344214,368,0.9940255,-3.7480278,0.26824787,29.529913,0.34685144,0.010282987,0.000625115,368,0.9940255,-4.386845,0.22389892,30.247608,0.2847171,0.017331942,0.000876734,368,0.9940255,-8.096343,0.15526628,31.80455,0.19054724,0.044702981,0.001436568,368,0.9940255,-12.702642,0.08963401,32.451813,0.10747358,0.166627431,0.002994532,368,0.9940255,-12.110731,0.09376015,32.19705,0.11278402,1.433871476,0.026687779,0.142193117,0.002665581
3,105420_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,105420_A,105420_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,105420,0.04811,88,0.9998252,-216.5681,15.238253,82.805824,14.92063,nan,nan,88,0.9998252,113.75644,31.660984,68.13657,39.42104,nan,nan,88,0.9998252,-74.21787,77.99352,282.7476,74.97442,0.000233429,nan,88,0.9998252,-0.85883,58.735268,184.41823,55.83944,nan,nan,88,0.9998252,-74.21787,77.99352,282.7476,74.97442,0.000233429,nan,88,0.9998252,43.131355,59.758606,182.9832,56.380524,nan,nan,88,0.9998252,-15.424317,62.17908,201.48318,58.518852,1,nan,nan,nan
4,105447_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,105447_A,105447_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,105447,0.04867,24,0.9253429,-0.9102034,3.0357444,98.02411,3.0021706,0.001366093,nan,24,0.9253429,-9.319813,2.9523935,101.68793,2.8911042,0.030682053,0.018002943,24,0.9253429,-14.534217,2.6799784,106.09794,2.611566,0.045482677,0.019017029,24,0.9253429,-14.255013,2.6649485,111.19961,2.5874639,0.050341977,0.018618392,24,0.9253429,-14.534217,2.6799784,106.09794,2.611566,0.045482677,0.019017029,24,0.9253429,-15.081456,2.7846575,110.86734,2.6953406,0.028700376,0.011480128,24,0.9253429,-12.142001,2.9463124,102.86416,2.8799129,6.84356403,3.664324632,0.029409955,0.015776309
5,105519_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,105519_A,105519_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,105519,0.0577,12,0.94180626,-42.40096,9.100918,117.749306,8.68243,0.000695557,nan,12,0.94180626,-43.13359,8.8144655,118.77119,8.38702,0.001711436,nan,12,0.94180626,-36.22386,8.289511,130.20892,7.776798,0.003720413,nan,12,0.94180626,-32.23125,7.6272216,126.09865,7.1955104,0.004689162,nan,12,0.94180626,-33.93439,8.862246,126.978096,8.327428,0.003117578,nan,12,0.94180626,-34.97526,8.862275,127.28046,8.3402,0.001904501,nan,12,0.94180626,-46.358948,9.156954,127.409966,8.622532,1,nan,0.001564017,nan
6,105573_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,105573_A,105573_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,105573,0.02556,34,1.0696892,1.993513,0.29834312,28.246809,0.39745864,0.002758469,0.000124791,34,1.0696892,0.6712052,0.2787763,29.479696,0.36006,0.007191414,0.000306282,34,1.0696892,0.8610636,0.2120286,30.416485,0.2640895,0.019521877,0.000677285,34,1.0696892,0.7482654,0.17403889,30.802513,0.21499035,0.032586069,0.000976983,34,1.0696892,0.29707253,0.15989815,31.86114,0.19644609,0.047571478,0.001234086,34,1.0696892,1.008483,0.2035291,31.840153,0.24590954,0.022161184,0.000737189,34,1.0696892,0.8320264,0.22814412,30.47376,0.28400075,1.192254419,0.04308057,0.017221424,0.000631009
7,105597_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,105597_A,105597_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,105597,0.02541,300,1.0084466,7.2509146,0.5183157,109.56049,0.44315037,0.073332468,0.002016295,300,1.0084466,-4.0931234,0.5065821,116.86331,0.42373106,0.181973005,0.004887203,300,1.0084466,-13.760823,0.44713953,124.490974,0.3665461,0.353363252,0.008042402,300,1.0084466,-16.213905,0.42489496,128.53773,0.344564,0.447222272,0.009370754,300,1.0084466,-17.06436,0.4070309,134.37238,0.32603425,0.549727635,0.011092226,300,1.0084466,-25.740887,0.35913005,138.85568,0.28509095,0.739306216,0.013344464,300,1.0084466,-18.96406,0.41120812,138.2583,0.32576278,2.839424199,0.055488622,0.566325751,0.011220755
8,105600_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,105600_A,105600_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,105600,0.02546,96,1.0419396,2.8188384,0.37690476,24.491068,0.5334229,0.002050854,0.000140768,96,1.0419396,0.5840937,0.3083819,24.568228,0.4321518,0.005679099,0.00037145,96,1.0419396,-0.1915336,0.2381571,24.570345,0.33351907,0.014835479,0.000746611,96,1.0419396,-1.1106715,0.20883234,24.79423,0.29212734,0.021267589,0.000942533,96,1.0419396,-1.3686556,0.18904501,24.992992,0.26513016,0.029705576,0.001204373,96,1.0419396,-1.1709795,0.18942091,25.113434,0.2650703,0.029531485,0.001214144,96,1.0419396,-0.94985026,0.19746666,24.921787,0.27586117,1.381842953,0.058075682,0.024094978,0.001020341
9,105738_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,105738_A,105738_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,105738,0.05291,62,0.9589479,-12.002399,0.40175015,144.55016,0.34627536,0.167139401,0.006185566,62,0.9589479,-10.720298,0.33739132,141.64525,0.29396558,0.3469311,0.011092632,62,0.9589479,-9.117669,0.28439337,139.97253,0.24905755,0.534166429,0.014401305,62,0.9589479,-8.568197,0.2653173,138.62004,0.23362347,0.605301501,0.015532532,62,0.9589479,-9.107618,0.29921693,141.16373,0.26088083,0.471281662,0.013430403,62,0.9589479,-8.48667,0.26388362,138.17209,0.2329216,0.661111192,0.017099602,62,0.9589479,-8.487786,0.26497862,138.41588,0.2335486,1.916082318,0.048540922,0.613790582,0.015752554
