,catid,type
0,6821,3
1,6837,3
2,7139,1
3,7206,2
4,7289,0.5
5,7715,0.5
6,7839,0.5
7,7841,1.5
8,7946,2
9,7969,0.5
10,7992,1
11,8319,3
12,8353,3
13,8391,-9
14,8404,3
15,8485,3
16,8487,0.5
17,8488,0
18,8490,-9
19,8562,3
20,8570,3
21,8703,2
22,8706,2
23,8865,0
24,8913,3
25,9032,0.5
26,9062,1
27,9067,2.5
28,9112,3
29,9115,3
30,9163,3
31,9352,2.5
32,14552,1
33,14555,3
34,14697,2
35,14753,2
36,14812,2.5
37,15165,0.5
38,15218,3
39,15220,3
40,15481,0
41,15847,3
42,15898,2
43,16022,0.5
44,16026,2.5
45,16242,1.5
46,16294,3
47,16310,3
48,16317,1
49,16382,0.5
50,16392,-9
51,16426,3
52,16429,-9
53,16430,3
54,16445,3
55,16487,2.5
56,16525,0
57,16526,0
58,16828,3
59,16863,3
60,16920,-9
61,16926,1
62,16948,3
63,17273,3
64,17314,2
65,17390,0.5
66,21836,3
67,21979,3
68,22121,-9
69,22175,3
70,22178,3
71,22582,0.5
72,22595,1
73,22633,3
74,22839,3
75,22862,3
76,22887,2
77,22932,3
78,23070,1
79,23075,1.5
80,23082,0
81,23117,1.5
82,23225,1.5
83,23259,2.5
84,23265,0
85,23337,2.5
86,23341,0
87,23519,3
88,23565,2
89,23578,3
90,23591,3
91,23593,3
92,23619,1.5
93,23623,1
94,23669,3
95,23737,3
96,23865,3
97,23868,3
98,24013,2.5
99,24414,3
100,24433,3
101,28654,3
102,28738,3
103,28860,3
104,30346,2
105,30361,1
106,30377,3
107,30469,0.5
108,30472,3
109,30615,0.5
110,30784,3
111,30786,2
112,30847,0.5
113,30890,3
114,30913,-9
115,30914,3
116,30916,2.5
117,31079,2
118,31129,3
119,31353,-9
120,31448,1
121,31452,3
122,31509,3
123,31620,2
124,31623,0.5
125,31725,3
126,31740,3
127,31912,1.5
128,31939,2.5
129,32136,3
130,32196,0
131,32249,3
132,32274,3
133,32295,3
134,32322,3
135,32362,2
136,36880,1
137,36894,3
138,36923,3
139,37050,3
140,37064,2
141,39057,0
142,39108,3
143,39131,3
144,39145,2.5
145,39365,2
146,39475,1
147,39539,3
148,39594,3
149,39671,-9
150,39709,1.5
151,39742,3
152,40164,2
153,40197,1.5
154,40278,2
155,40283,3
156,40403,1
157,40419,1.5
158,40420,3
159,40445,0
160,40453,3
161,40482,3
162,40491,0.5
163,40765,2.5
164,40916,3
165,41059,0
166,41075,3
167,41143,1
168,41144,2
169,41164,3
170,41173,3
171,41180,0
172,41274,0.5
173,41277,1.5
174,41302,1.5
175,41354,3
176,47152,0
177,47224,3
178,47245,3
179,47254,0
180,47258,1.5
181,47286,3
182,47293,1
183,47342,2.5
184,47460,2
185,47493,3
186,47500,3
187,47535,3
188,47652,3
189,47674,1
190,48016,2.5
191,48049,1.5
192,48432,2
193,48470,0
194,48506,2.5
195,48548,0.5
196,48681,1
197,48740,3
198,48969,3
199,49204,3
200,49670,3
201,49677,3
202,49702,2.5
203,49728,3
204,49730,3
205,49734,1
206,49753,3
207,49755,3
208,49784,1
209,49840,3
210,49857,3
211,53770,3
212,53771,3
213,53809,3
214,53977,3
215,54102,3
216,54198,2
217,54202,0
218,54270,0
219,54359,2.5
220,54375,2.5
221,54382,3
222,54455,3
223,54500,0.5
224,54848,3
225,54850,1.5
226,54895,3
227,54918,0
228,54921,0
229,54938,3
230,54957,2
231,55124,3
232,55143,0
233,55150,3
234,55160,3
235,55227,3
236,55245,2.5
237,55287,3
238,55346,3
239,55367,3
240,55372,3
241,55537,2.5
242,55648,3
243,55684,3
244,55905,3
245,56055,-9
246,56061,3
247,56064,2
248,56140,1
249,56181,0
250,56183,3
251,62145,3
252,62239,0
253,62244,0
254,62412,3
255,62435,3
256,62593,3
257,62718,3
258,63027,1.5
259,63210,1.5
260,63276,2
261,63302,2.5
262,63305,1.5
263,63389,2.5
264,63777,2.5
265,63779,2.5
266,63780,1.5
267,63855,3
268,63997,2
269,64087,2.5
270,64553,3
271,64646,1.5
272,64758,3
273,65237,3
274,65278,3
275,65355,3
276,65359,3
277,65384,2
278,65395,2.5
279,65406,2
280,65408,0
281,65410,0.5
282,69462,3
283,69513,3
284,69535,3
285,69620,3
286,69653,3
287,69740,-9
288,69752,2
289,69822,2
290,69844,3
291,69864,3
292,69986,2
293,70022,0.5
294,70107,3
295,70114,0
296,70403,2
297,70532,1.5
298,70640,0.5
299,70670,0
300,70719,2.5
301,70777,3
302,70802,0
303,70808,0
304,70929,2.5
305,71099,3
306,71117,3
307,71146,3
308,71178,0.5
309,71269,3
310,71352,0
311,71382,3
312,77226,1.5
313,77227,2
314,77373,3
315,77445,3
316,77446,2
317,77452,3
318,77710,1.5
319,77754,2
320,77845,3
321,77967,3
322,78355,1.5
323,78406,3
324,78425,2.5
325,78523,2.5
326,78530,0.5
327,78531,2
328,78634,1
329,78667,3
330,78791,3
331,78827,1.5
332,78921,3
333,79098,3
334,79329,3
335,79335,3
336,79444,2.5
337,79529,3
338,79601,3
339,79635,2.5
340,79670,3
341,79689,-9
342,79690,3
343,79693,1.5
344,79706,0
345,79710,3
346,79711,1
347,79712,3
348,79733,0.5
349,79734,3
350,79750,0
351,79771,3
352,79810,0
353,79850,-9
354,79866,0
355,84048,3
356,84073,1.5
357,84106,0.5
358,84107,2.5
359,84209,0
360,84677,2
361,84680,1
362,84734,0.5
363,84900,2
364,85205,0
365,85239,1.5
366,85280,2
367,85416,2
368,85418,2
369,85423,3
370,85464,3
371,85474,3
372,85479,2.5
373,85481,3
374,85505,2
375,85507,3
376,85559,0
377,85667,0
378,85707,1.5
379,85919,3
380,86115,3
381,86116,3
382,91510,3
383,91545,0
384,91568,0.5
385,91579,3
386,91589,2
387,91627,2.5
388,91686,1
389,91689,0
390,91691,0.5
391,91692,2.5
