V_rot_err,V_rot,catid
2.386040009,102.7883786,7839
1.604159214,61.42927023,8487
4.830988586,109.419563,8703
1.974550414,41.05986469,14812
4.916353949,106.6434487,22887
3.252946727,75.55212977,23337
2.491681309,127.7591035,30346
5.647457344,130.0931197,30361
2.576357777,68.15548255,30890
3.443867591,95.68295591,31620
1.747397606,82.15701785,32362
6.651935587,134.9782926,36880
5.873649583,127.1282721,37064
5.101170319,110.6164824,39057
3.866579125,179.9615342,40278
2.201033452,73.85114567,40916
4.206247648,105.3275513,48432
2.449932848,82.25863382,53977
1.189844633,25.11344527,54102
4.099880663,117.2239528,54359
6.17715924,138.0211481,54921
1.784479312,39.79023568,55143
2.82319314,80.64572415,55150
5.54307826,246.9251409,65406
8.472085932,238.8247109,69822
1.159770711,26.30542692,70114
4.514878398,146.239077,77446
2.289392953,95.09765755,77754
4.592117738,99.91954468,78667
3.211148837,130.9727929,79635
1.314376562,32.10528479,79733
3.832476699,90.50615441,84734
2.877813451,94.43961817,91627
4.946992909,174.2642344,91963
3.845349822,78.97934685,99349
2.476242847,149.9675761,99428
2.405613691,82.66907277,106042
1.276163797,59.79708741,106638
3.955173629,110.8665433,106717
1.850453222,61.19323349,107137
2.974585149,92.41159399,107214
6.489046198,146.4920257,136602
1.72969728,50.50566554,136842
2.369703984,70.15388803,144178
2.812907974,57.21164542,144239
0.634813571,16.87316638,144491
2.163887552,51.61063908,145583
3.992815576,167.1251895,176955
3.048526043,113.5123053,184368
4.247680385,97.55328586,184648
4.932888817,126.3115562,185282
3.988370981,88.64166963,185532
4.977226271,116.4776898,197555
2.103957679,58.60608875,198591
2.780998576,59.2689109,202399
4.39600805,91.4591525,202443
2.918078359,107.6634283,202673
4.394057464,100.1726001,204096
2.267385152,70.08913797,204799
2.798416646,75.5934095,205085
4.166490766,85.64423726,205097
3.158448509,102.0875923,208520
3.923843923,88.06767948,209743
4.112410711,84.40627802,210781
1.855404582,43.18035124,214182
4.955052797,102.7673997,214184
6.195607539,149.2897483,214250
5.191264637,126.2742768,215579
4.004907047,140.3626004,216184
2.647709514,100.3027552,220326
1.889560581,38.9756393,220371
3.002040272,79.45212395,220439
0.931333393,24.24585146,220687
1.850824862,45.68317431,227266
2.046422247,41.01909193,227351
2.046620223,55.80615044,228105
2.815483578,69.25733353,228564
2.079884179,92.16843664,228570
6.358718662,166.9327115,229163
3.218509198,71.65651828,230634
2.176515708,74.70728581,230714
7.954262329,186.7626413,238358
4.757542847,97.92655283,238406
3.938846967,157.2375538,238922
7.244986443,145.0496399,239109
1.550158803,33.94601483,240202
3.914873809,119.8279251,240227
5.229823313,209.3847892,251887
2.296328795,49.70332966,273296
2.752989645,115.6307229,278390
2.294120388,49.16991995,278548
2.480159421,50.89075509,278760
4.932749699,136.2866804,279905
3.164034823,81.4592975,288364
5.94997807,147.0098443,288851
2.157470674,61.54940815,288904
1.790658014,58.41180773,288992
4.813228968,127.3302105,289089
3.49621945,179.276453,289096
3.582983108,114.365212,289097
3.91761739,112.9853217,297633
2.816821166,60.32639756,298612
2.454641931,72.96171912,298666
3.695149802,79.36847366,298738
3.519055659,71.04410736,301191
4.273104074,160.9150871,301885
4.308129388,120.6577628,319299
1.908583666,45.38194193,319395
6.343895351,314.1521237,323504
2.490190474,131.4179226,323855
5.500346389,128.9853994,325007
3.781762835,76.15936094,325533
7.18893536,173.9451193,348118
2.414904162,67.0211166,371170
1.998260504,67.84144109,371633
5.441094687,109.1457285,372123
3.242682286,76.16741589,373105
3.891020812,96.82259762,376478
5.554356186,112.4780174,376679
3.392869964,89.80476528,382731
3.189725751,137.5757951,386898
4.487211744,90.60978887,417441
2.9429348,97.10626347,422649
3.397420523,151.2389736,460374
2.698687698,66.07440521,463288
5.128715329,155.9955612,463668
5.806669651,126.4689292,485504
5.123406459,121.1540497,485834
3.188870028,109.1463335,485885
4.958426733,109.5319194,485919
3.570589683,152.6412223,486957
3.150119303,73.61288586,487019
3.047669614,74.86460155,487027
1.066905116,25.4636049,496978
4.925276491,175.7072354,505788
3.576584735,108.7956192,508351
4.582249654,99.71899848,508352
2.335093121,78.07122646,509852
4.761600739,127.2361488,511867
3.915264999,113.824574,514029
6.042690123,123.8054827,516973
3.244773871,84.54614048,517070
3.371198755,142.7284055,517278
4.387243824,88.84684876,521991
2.789166764,140.4056978,534753
2.354330572,50.92039155,536625
2.529588297,91.49783547,537084
2.160942329,43.74391398,537187
7.185333602,156.6956666,537361
5.262249508,108.9065828,537426
2.097563787,43.6778399,543537
4.353877808,174.919716,543998
4.384248685,157.5559154,544749
3.846957354,93.84942891,544958
3.62399963,74.21801637,551202
4.801318129,162.6439922,551505
4.646846032,174.5938547,551507
2.174951079,81.84095352,560333
3.921885617,121.3635469,560883
3.767784992,124.4276892,561020
3.970269032,136.4088401,567545
1.814093976,52.287086,572402
1.719901457,50.30992961,585226
4.756199626,147.9720453,585386
1.659588134,44.53116362,594049
3.192754003,85.75215841,598968
2.516824989,86.9835888,599582
4.472434968,192.7499632,599761
2.978128009,65.38179296,599834
5.794081088,157.0833929,600026
5.60788218,161.4304843,601255
3.291412287,112.9299735,601323
1.534078814,59.10530616,610398
4.93679695,105.9525807,610997
3.435642809,111.3485442,611220
3.772260006,87.15312933,618116
4.762235597,158.5014975,618993
0.983881166,30.30854482,619104
4.179369252,152.1474958,621988
5.265160921,122.8408671,622228
5.918294997,126.9378351,622305
6.70069582,153.5312734,622694
2.840293483,107.877856,623144
5.716851427,198.0376924,623432
1.945899796,57.60747505,751043
4.226724795,98.46769274,3895257
2.104662701,48.70394417,9008500001
1.497795909,38.08053729,9008500002
4.194902472,137.6709589,9008500074
5.925033094,139.4630748,9008500114
9.001968976,193.1873436,9008500220
3.113251247,156.3824304,9008500268
5.667963845,141.3302685,9008500316
4.206263517,122.3191633,9008500511
4.042852402,104.0893545,9008500673
4.241962586,89.68058612,9008500701
4.97117643,115.82896,9008500724
