,id,SubhaloHalfmassRad_xyTotal,SubhaloHalfmassRad_xzTotal,SubhaloHalfmassRad_yzTotal,SubhaloVelDispReProjectedStellarTotal,SubhaloVelDisp3D_Stellar_Re_Total,SubhaloVelDisp3D_Stellar_Total,SubhaloVelDisp3D_Gas_Total,SubhaloVelDisp3D_DM_Total
0,17185,75.74559565,62.99768021,56.65337219,364.5714445,622.5653507,611.8712082,232.8777543,843.8746513
1,31342,46.43699701,46.42912067,37.63983435,380.5117754,651.1110346,622.6907096,514.3927334,994.7244276
2,41582,15.16888538,16.3064576,13.60239999,330.9825216,563.1368171,585.4431756,547.1418075,983.2335425
3,52618,28.52145184,27.59005635,21.95193401,309.2177321,529.3157217,525.7448257,399.9746208,810.1798596
4,60731,25.28790991,23.87214037,24.84166273,351.8159995,602.0614246,601.1863459,199.8537554,848.0730065
5,69507,24.61941717,25.0515957,24.14215196,360.1445507,614.4089267,613.1935652,272.5690857,956.0223584
6,76086,19.37321061,19.43547005,14.51352904,288.6059754,492.277214,496.7061996,235.8490589,787.7530206
7,83280,24.39515809,24.87674741,26.07052023,380.7005321,651.6865611,642.978998,175.7087631,973.143498
8,88663,23.01430116,26.57179866,23.52405252,347.7738717,594.2076715,593.3788321,194.2689194,923.7759185
9,96500,28.94447992,27.83612263,22.50945118,354.6435649,599.4535868,594.7075591,286.9375328,917.6064011
10,102683,16.57109207,16.00847632,21.15165423,335.1986099,576.5962169,578.9272529,339.1341235,862.5325301
11,108012,15.52732671,12.64293418,15.88688349,244.6809835,418.5707217,422.5913766,437.4060656,631.6557293
12,114388,12.38995878,10.94946388,10.38080561,279.4967103,483.9797235,479.3895406,481.8305991,651.9039876
13,118679,14.13723292,14.29269008,14.3359383,342.0137206,588.1539992,592.6539819,260.1528466,849.8352002
14,121863,13.17462359,12.72515355,13.73640527,336.7700421,575.8637755,582.0934701,307.5794505,810.3741555
15,125027,13.0185455,13.03627199,13.24985887,273.612912,471.1285892,469.3525692,433.706897,660.9953832
16,128393,22.75535116,25.4123661,18.73167711,303.2496141,518.6062283,518.2122509,200.2272959,778.1074207
17,131047,20.33223487,19.67952489,20.6000845,235.6021657,403.7464264,404.3690162,254.1106399,584.9015482
18,134847,34.75442326,30.76918573,35.99160623,215.5789741,363.8384086,351.9689433,419.909971,627.2236731
19,137885,23.24873913,21.9015771,25.5869317,236.0185098,404.9666505,404.5083521,400.4122146,627.0322558
20,140721,17.29257189,15.49331241,16.65867433,266.5558824,456.3327367,456.9156565,329.2701078,658.9564626
21,143884,15.73309997,18.68739515,18.30019672,311.8334881,534.7563612,539.9045859,498.5935008,814.6949605
22,146176,14.86985627,12.62201422,14.19755989,252.1986045,430.0010362,433.190997,427.7365859,607.9708473
23,149169,32.42912894,25.43119123,36.94715394,259.4772041,436.3453023,424.0407213,466.3206588,654.4454492
24,152031,15.48285202,13.15151096,15.16279452,246.938095,422.8972073,430.1714294,386.3285392,645.655384
25,154493,12.19512204,14.38249201,15.23679197,287.6617096,492.1306765,492.8586704,210.6411223,717.864862
26,156809,12.41908468,11.36125336,13.05570873,300.9427584,514.2454164,515.6640532,346.7973066,752.8353014
27,158847,15.3658297,16.51813501,15.2917878,242.0267155,411.0357584,423.7730879,473.5453179,630.3430919
28,161162,17.65214679,21.32192092,22.48386348,244.4922802,414.3180342,416.6801618,483.6940476,619.8654695
29,163675,11.40017621,14.38693564,13.12211376,290.8847999,498.605685,499.5092243,276.6383396,744.0206623
30,165727,13.40409849,14.96044337,13.09996538,242.6234688,414.807529,421.1830998,396.73218,633.7630151
31,168390,23.51609339,26.21344826,17.39271503,254.8612206,436.267545,435.8852734,255.6267791,701.4990812
32,170540,11.79443119,11.21866822,10.26125822,256.9981601,441.0117205,437.794763,207.2256485,643.3395118
33,172649,10.09885311,10.23365972,9.892099409,226.0989956,386.5112916,387.4239824,191.2145687,559.6802424
